商品コード,商品名,ラインコード,盛付ライン,合計数,生産数,自動数,残数,生産性セットmin,開始時刻,終了時刻,終了見込時刻,生産時間_min単位,準備セット数min,予定通過時刻,準備セット数,生産開始日,予定開始時刻,予定終了時刻,生産終了日,打刻記録,休憩min,休憩反映,中断時刻,再開時刻,作業開始前min,休憩２min,休憩２反映,休憩3min,休憩３反映,休憩4min,休憩４反映,休憩5min,休憩５反映,休憩６min,休憩６反映,休憩７min,休憩７反映,生産進捗率,Aライン表示,Bライン表示,Cライン表示,Dライン表示,Eライン表示,Fライン表示,更新回避,カウント数,クリックして追加,クール
1,TV結1,1,Aライン,1970,0,0,1970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,9:30:00,17:00:00,2025/12/27,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第1クール
2,まつおか-3.3,1,Aライン,461,0,0,461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,20:30:00,0:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
3,富士,1,Aライン,220,0,0,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,1:30:00,3:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
4,大和路,1,Aライン,522,0,0,522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,4:30:00,7:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
5,誉2,1,Aライン,1800,0,0,1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,11:30:00,20:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第3クール
6,彩春簡易版,1,Aライン,410,0,0,410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,22:30:00,0:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
7,彩春,1,Aライン,1210,0,0,1210,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,0:00:00,7:00:00,2025/12/29,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
8,国産プレミアム,1,Aライン,95,0,0,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,13:00:00,14:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
9,恵比寿,1,Aライン,4358,0,0,4358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,15:30:00,14:00:00,2025/12/30,NULL,300,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
1,TV結2,2,Bライン,1970,0,0,1970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,9:30:00,17:00:00,2025/12/27,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第1クール
2,まつおか-3.3,2,Bライン,461,0,0,461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,20:30:00,0:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
3,富士,2,Bライン,220,0,0,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,1:30:00,3:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
4,大和路,2,Bライン,522,0,0,522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,4:30:00,7:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
5,香久山,2,Bライン,314,0,0,314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,9:30:00,12:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
6,誉2,2,Bライン,1800,0,0,1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,11:30:00,20:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第3クール
7,彩春簡易版2,2,Bライン,410,0,0,410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,22:30:00,0:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
8,彩春2,2,Bライン,1206,0,0,1206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,0:00:00,7:00:00,2025/12/29,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
9,国産プレミアム,2,Bライン,95,0,0,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,13:00:00,14:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
10,恵比寿,2,Bライン,4358,0,0,4358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,15:30:00,14:00:00,2025/12/30,NULL,300,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
1,TV結3,3,Cライン,1970,0,0,1970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,9:30:00,17:00:00,2025/12/27,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第1クール
2,まつおか-3.3,3,Cライン,461,0,0,461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,20:30:00,0:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
3,富士,3,Cライン,220,0,0,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,1:30:00,3:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
4,大和路,3,Cライン,522,0,0,522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,4:30:00,7:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
5,香久山,3,Cライン,314,0,0,314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,9:30:00,12:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
6,誉2,3,Cライン,1800,0,0,1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,11:30:00,20:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第3クール
7,彩春簡易版3,3,Cライン,400,0,0,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,22:30:00,0:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
8,彩春3,3,Cライン,1200,0,0,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,0:00:00,7:00:00,2025/12/29,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
9,恵比寿,3,Cライン,4358,0,0,4358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,15:30:00,14:00:00,2025/12/29,NULL,300,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
1,TV結4,4,Dライン,1970,0,0,1970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,11:30:00,19:00:00,2025/12/27,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第1クール
2,まつおか13.5,4,Dライン,2204,0,0,2204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,22:30:00,8:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
3,誉,4,Dライン,7017,0,0,7017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,10:30:00,23:00:00,2025/12/29,NULL,510,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第3クール
1,TV結5,5,Eライン,1960,0,0,1960,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,11:30:00,19:00:00,2025/12/27,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第1クール
2,まつおか13.5,5,Eライン,2204,0,0,2204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,22:30:00,8:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
3,誉,5,Eライン,7017,0,0,7017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,10:30:00,23:00:00,2025/12/29,NULL,510,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第3クール
1,TV結6,6,Fライン,1960,0,0,1960,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,11:30:00,19:00:00,2025/12/27,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第1クール
2,佳宝,6,Fライン,1188,0,0,1188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,22:30:00,7:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
3,誉,6,Fライン,7017,0,0,7017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,10:30:00,23:00:00,2025/12/29,NULL,510,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第3クール
